Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
2021-05-28,21.0,0.06,59.0,257.0,1.5
2021-05-29,23.0,0.0,50.0,317.0,1.2
2021-05-30,24.5,0.0,45.0,315.0,2.1
2021-05-31,23.4,0.05,50.0,288.0,2.1
2021-06-01,19.4,0.19,69.0,261.0,2.2
2021-06-02,19.7,0.0,57.0,308.0,1.5
2021-06-03,22.5,0.0,50.0,297.0,2.2
2021-06-04,22.4,0.0,39.0,351.0,1.9
2021-06-05,18.5,0.0,67.0,104.0,1.8
2021-06-06,21.2,0.01,58.0,311.0,1.3
2021-06-07,24.6,0.0,39.0,334.0,1.6
2021-06-08,26.0,0.0,34.0,332.0,1.7
2021-06-09,26.4,0.0,29.0,353.0,2.0
2021-06-10,27.1,0.0,35.0,341.0,1.9
2021-06-11,25.3,0.03,43.0,303.0,1.9
2021-06-12,23.8,0.0,48.0,341.0,2.8
2021-06-13,25.0,0.0,40.0,308.0,2.7
2021-06-14,26.8,0.0,37.0,316.0,1.6
2021-06-15,27.0,0.0,36.0,275.0,2.5
2021-06-16,25.2,0.45,46.0,266.0,2.5
2021-06-17,17.8,0.47,80.0,142.0,1.8
2021-06-18,18.8,0.23,71.0,272.0,2.3
2021-06-19,18.4,0.0,57.0,314.0,1.7
2021-06-20,16.2,0.0,70.0,196.0,3.7
2021-06-21,16.9,0.0,62.0,316.0,3.5
2021-06-22,17.0,0.02,63.0,108.0,1.2
2021-06-23,15.4,0.0,73.0,159.0,1.0
2021-06-24,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347
2021-06-25,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347
2021-06-26,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347
2021-06-27,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347
2021-06-28,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347
2021-06-29,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347
2021-06-30,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347
2021-07-01,25.533333333333335,0.0,17.0,524.0,3.7
2021-07-02,25.533333333333335,0.0,25.0,362.0,2.5
2021-07-03,25.533333333333335,0.0,35.0,340.0,2.8
2021-07-04,25.533333333333335,0.0,40.0,356.0,2.5
2021-07-05,25.533333333333335,0.0,41.0,357.0,3.2
2021-07-06,25.533333333333335,0.04,62.0,64.0,2.0
2021-07-07,25.533333333333335,0.0,49.0,359.0,1.8
2021-07-08,25.533333333333335,0.0,39.0,355.0,1.5
2021-07-09,25.533333333333335,0.0,37.0,346.0,1.5
2021-07-10,25.533333333333335,0.0,39.0,399.0,1.7
2021-07-11,25.533333333333335,0.005666666666666666,35.46666666666667,341.26666666666665,2.0566666666666666
2021-07-12,25.533333333333335,0.0,28.0,547.0,3.6
2021-07-13,25.533333333333335,0.0,36.0,351.0,1.6
2021-07-14,25.533333333333335,0.0,38.0,325.0,1.4
2021-07-15,25.533333333333335,0.0,36.0,345.0,1.6
2021-07-16,25.533333333333335,0.0,32.0,340.0,1.4
2021-07-17,25.533333333333335,0.0,25.0,339.0,1.5
2021-07-18,25.533333333333335,0.0,26.0,345.0,1.7
2021-07-19,25.533333333333335,0.0,31.0,344.0,1.5
2021-07-20,25.533333333333335,0.0,28.0,329.0,1.8
2021-07-21,25.533333333333335,0.0,29.0,328.0,1.5
2021-07-22,25.533333333333335,0.0,28.0,335.0,1.8
2021-07-23,25.533333333333335,0.0,27.0,329.0,2.6
2021-07-24,25.533333333333335,0.0,31.0,340.0,1.8
2021-07-25,25.533333333333335,0.04,34.0,321.0,1.8
2021-07-26,25.533333333333335,0.09,60.0,287.0,1.3
2021-07-27,25.533333333333335,0.0,44.0,327.0,2.2
2021-07-28,25.533333333333335,0.0,34.0,327.0,1.9
2021-07-29,25.533333333333335,0.0,40.0,325.0,2.4
2021-07-30,25.533333333333335,0.0,31.0,333.0,2.9
2021-07-31,25.533333333333335,0.0,42.0,259.0,2.2
2021-08-01,20.4,0.0,46.0,319.0,1.6
2021-08-02,22.8,0.0,36.0,315.0,1.5
2021-08-03,24.3,0.0,41.0,298.0,2.2
2021-08-04,26.0,0.0,37.0,319.0,2.3
2021-08-05,27.3,0.0,29.0,320.0,2.0
2021-08-06,26.4,0.0,29.0,333.0,3.1
2021-08-07,23.4,0.0,33.0,308.0,2.1
2021-08-08,23.4,0.0,32.0,322.0,1.5
2021-08-09,27.6,0.0,44.0,322.0,1.9
2021-08-10,28.9,0.0,44.0,297.0,1.8
2021-08-11,30.3,0.0,36.0,273.0,1.9
2021-08-12,30.1,0.0,32.0,305.0,2.2
2021-08-13,31.0,0.0,25.0,284.0,1.7
2021-08-14,32.7,0.0,26.0,269.0,1.7
2021-08-15,31.3,0.0,24.0,272.0,2.5
2021-08-16,27.7,0.0,22.0,297.0,1.5
2021-08-17,25.0,0.0,31.0,305.0,1.8
2021-08-18,25.8,0.0,33.0,296.0,1.6
2021-08-19,26.1,0.0,35.0,291.0,1.7
2021-08-20,26.5,0.0,39.0,296.0,1.8
2021-08-21,26.2,0.0,26.0,298.0,1.6
2021-08-22,27.2,0.0,27.0,285.0,1.3
2021-08-23,29.2,0.0,31.0,257.0,1.6
2021-08-24,26.2,0.0,42.0,246.0,1.8
2021-08-25,25.0,0.0,49.0,218.0,1.9
2021-08-26,26.2,0.0,45.0,226.0,1.2
2021-08-27,24.7,0.0,43.0,147.0,1.3
2021-08-28,25.7,0.0,34.0,276.0,2.2
2021-08-29,24.7,0.0,37.0,276.0,2.0
2021-08-30,24.4,0.0,43.0,273.0,2.1
2021-08-31,24.9,0.0,47.0,245.0,1.5
2021-09-01,19.4,0.65,81.0,103.0,1.6
2021-09-02,19.0,0.03,77.0,194.0,1.2
2021-09-03,21.5,0.0,64.0,248.0,1.3
2021-09-04,23.0,0.0,50.0,264.0,1.2
2021-09-05,24.3,0.0,48.0,255.0,1.2
2021-09-06,25.4,0.0,46.0,141.0,1.8
2021-09-07,25.8,0.0,42.0,241.0,1.9
2021-09-08,22.1,0.0,54.0,253.0,3.0
2021-09-09,21.9,0.0,55.0,187.0,1.7
2021-09-10,22.4,0.0,51.0,248.0,2.4
2021-09-11,20.7,0.0,52.0,173.0,1.4
2021-09-12,22.6,0.0,46.0,241.0,1.2
2021-09-13,20.4,0.01,58.0,93.0,1.2
2021-09-14,17.6,1.18,85.0,56.0,1.8
2021-09-15,18.5,0.01,79.0,195.0,1.4
2021-09-16,20.2,0.0,67.0,179.0,0.9
2021-09-17,20.3,0.0,65.0,197.0,1.3
2021-09-18,19.8,0.0,55.0,224.0,1.6
2021-09-19,17.6,0.0,50.0,241.0,0.9
2021-09-20,17.3,0.0,56.0,200.0,1.5
2021-09-21,16.2,0.0,49.0,238.0,2.5
2021-09-22,16.6,0.03,60.0,148.0,1.6
2021-09-23,19.0,0.18,65.0,170.0,2.1
2021-09-24,18.5,0.3,84.0,117.0,1.6
2021-09-25,17.5,0.04,77.0,198.0,2.1
2021-09-26,17.7,0.0,69.0,219.0,1.4
2021-09-27,18.5,0.0,62.0,218.0,1.0
2021-09-28,18.2,0.0,59.0,191.0,1.4
2021-09-29,19.9,0.0,49.0,185.0,1.0
2021-09-30,19.2,0.0,54.0,193.0,1.0
2021-10-01,18.1,0.0,60.0,152.0,0.9
2021-10-02,18.0,0.0,57.0,190.0,1.7
2021-10-03,15.4,0.35,72.0,74.0,2.5
2021-10-04,13.1,0.0,59.0,181.0,1.3
2021-10-05,16.3,0.0,63.0,150.0,1.6
2021-10-06,18.3,0.0,63.0,196.0,1.0
2021-10-07,16.7,0.0,55.0,204.0,0.9
2021-10-08,17.3,0.0,50.0,198.0,1.0
2021-10-09,17.7,0.0,45.0,193.0,0.8
2021-10-10,17.3,0.0,57.0,161.0,0.9
2021-10-11,16.5,0.0,64.0,171.0,1.0
2021-10-12,16.7,0.0,63.0,188.0,0.8
2021-10-13,16.2,0.0,41.0,196.0,1.0
2021-10-14,15.3,0.0,49.0,183.0,0.9
2021-10-15,15.6,0.0,58.0,178.0,1.1
2021-10-16,14.7,0.0,57.0,91.0,0.7
2021-10-17,17.4,0.04,69.0,162.0,1.1
2021-10-18,17.3,0.0,71.0,162.0,0.9
2021-10-19,18.1,0.0,68.0,164.0,0.8
2021-10-20,17.0,0.0,68.0,144.0,1.6
2021-10-21,16.6,0.0,61.0,129.0,1.1
2021-10-22,14.7,0.0,52.0,173.0,2.4
2021-10-23,12.8,0.0,56.0,171.0,1.1
2021-10-24,11.5,0.0,56.0,168.0,1.1
2021-10-25,12.1,0.0,56.0,158.0,0.8
2021-10-26,14.3,0.0,52.0,158.0,1.0
2021-10-27,12.6,0.0,62.0,155.0,1.0
2021-10-28,12.2,0.0,62.0,150.0,1.3
2021-10-29,13.2,0.66,74.0,29.0,1.7
2021-10-30,15.2,1.22,93.0,56.0,2.8
2021-10-31,15.7,0.96,97.0,61.0,2.9
2021-11-01,14.3,0.34,73.0,141.0,1.8
2021-11-02,9.5,0.4,80.0,10.0,2.6
2021-11-03,8.6,0.0,67.0,122.0,2.2
2021-11-04,7.3,0.0,70.0,108.0,0.9
2021-11-05,6.9,0.0,66.0,147.0,1.6
2021-11-06,7.1,0.0,58.0,146.0,1.2
2021-11-07,6.1,0.0,66.0,108.0,0.8
2021-11-08,9.1,0.0,60.0,139.0,1.3
2021-11-09,9.9,0.0,53.0,136.0,0.9
2021-11-10,8.6,0.0,60.0,133.0,0.8
2021-11-11,7.9,0.0,69.0,127.0,0.7
2021-11-12,9.7,0.0,71.0,120.0,0.8
2021-11-13,9.8,0.0,71.0,127.0,0.7
2021-11-14,9.6,0.0,68.0,128.0,0.8
2021-11-15,10.5,0.0,58.0,123.0,1.2
2021-11-16,7.1,0.0,71.0,122.0,0.7
2021-11-17,8.3,0.0,66.0,114.0,1.3
2021-11-18,8.2,0.0,64.0,73.0,1.0
2021-11-19,10.3,0.0,70.0,86.0,1.7
2021-11-20,10.8,0.0,75.0,24.0,1.0
2021-11-21,10.5,0.0,85.0,73.0,0.9
2021-11-22,6.3,0.48,96.0,50.0,0.9
2021-11-23,4.6,0.0,89.0,20.0,0.9
2021-11-24,3.9,0.0,88.0,71.0,1.4
2021-11-25,6.2,0.0,74.0,62.0,1.1
2021-11-26,5.3,0.0,71.0,98.0,1.0
2021-11-27,5.4,0.0,62.0,83.0,2.3
2021-11-28,5.2,0.0,59.0,99.0,3.6
2021-11-29,9.6,0.0,65.0,108.0,2.9
2021-11-30,6.1,0.0,76.0,101.0,0.9
2021-12-01,4.3,0.11,72.0,73.0,1.6
2021-12-01,4.3,0.11,87.0,73.0,1.6
2021-12-02,6.6,0.0,60.0,108.0,1.9
2021-12-02,6.6,0.0,61.0,108.0,1.9
2021-12-03,7.4,0.0,68.0,106.0,1.2
2021-12-03,7.4,0.0,63.0,106.0,1.2
2021-12-04,7.1,0.0,65.0,69.0,1.8
2021-12-04,7.1,0.0,81.0,69.0,1.8
2021-12-05,8.3,0.0,73.0,89.0,2.6
2021-12-05,8.3,0.0,59.0,89.0,2.6
2021-12-06,9.2,0.0,71.0,102.0,2.1
2021-12-06,9.2,0.0,65.0,102.0,2.1
2021-12-07,6.8,0.0,78.0,19.0,2.4
2021-12-07,6.8,0.0,94.0,19.0,2.4
2021-12-08,7.0,0.05,87.0,70.0,3.1
2021-12-08,7.0,0.05,67.0,70.0,3.1
2021-12-09,8.5,0.0,100.0,57.0,3.1
2021-12-09,8.5,0.0,69.0,57.0,3.1
2021-12-10,10.9,0.0,82.0,63.0,3.6
2021-12-10,10.9,0.0,68.0,63.0,3.6
2021-12-11,11.6,0.0,78.0,100.0,1.5
2021-12-11,11.6,0.0,65.0,100.0,1.5
2021-12-12,7.2,0.0,79.0,97.0,0.7
2021-12-12,7.2,0.0,84.0,97.0,0.7
2021-12-13,6.3,0.0,76.0,99.0,0.6
2021-12-13,6.3,0.0,82.0,99.0,0.6
2021-12-14,7.2,0.0,76.0,98.0,0.6
2021-12-14,7.2,0.0,72.0,98.0,0.6
2021-12-15,7.4,0.0,80.0,77.0,0.6
2021-12-15,7.4,0.0,62.0,77.0,0.6
2021-12-16,5.3,0.0,79.0,96.0,0.8
