Fecha,Ventas
2021-10-23,448.65
2021-10-24,467.75
2021-10-25,89.01
2021-10-26,205.07
2021-10-27,241.39
2021-10-28,248.75
2021-10-29,89.77
2021-10-30,117.15
2021-10-31,227.35
2021-11-01,314.8
2021-11-03,79.04
2021-11-04,117.4
2021-11-05,106.88
2021-11-06,352.8
2021-11-07,250.88
2021-11-10,109.66
2021-11-11,146.96
2021-11-12,169.57
2021-11-13,321.47
2021-11-14,482.92
2021-11-16,108.29
2021-11-17,115.66
2021-11-18,140.95
2021-11-19,130.98
2021-11-20,133.27
2021-11-21,187.38
2021-11-23,74.05
2021-11-24,53.87
2021-11-25,81.12
2021-11-26,79.26
2021-11-27,151.75
2021-11-28,84.45
2021-11-30,64.25
2021-12-01,84.05
2021-12-02,95.36
2021-12-03,115.83
2021-12-04,116.7
2021-12-05,121.64
2021-12-06,121.31
2021-12-08,112.3
2021-12-09,69.5
2021-12-10,152.81
2021-12-11,215.68
2021-12-12,292.25
2021-12-14,109.41
2021-12-15,68.4
2021-12-16,115.6
2021-12-17,159.47
2021-12-18,197.25
2021-12-19,199.53
2021-12-21,101.41
2021-12-22,89.45
2021-12-23,163.5
2021-12-24,238.41
2021-12-26,24.9
2021-12-27,105.64
2021-12-28,138.7
2021-12-29,169.98
2021-12-30,116.14
2021-12-31,274.1
2022-01-02,154.85
2022-01-03,115.16
2022-01-04,86.38
2022-01-05,47.81
2022-01-06,156.0
2022-01-07,60.28
2022-01-08,105.9
2022-01-14,66.07
2022-01-15,180.95
2022-01-16,148.6
2022-01-21,75.14
2022-01-22,164.45
2022-01-23,182.05
2022-01-28,183.14
2022-01-29,378.72
2022-01-30,394.11
2022-02-01,39.55
2022-02-02,168.84
2022-02-03,137.48
2022-02-04,153.32
2022-02-05,340.7
2022-02-06,554.07
2022-02-08,236.94
2022-02-09,273.46
2022-02-10,191.9
2022-02-11,279.96
2022-02-12,535.03
2022-02-13,411.45
2022-02-15,100.0
2022-02-16,146.16
2022-02-17,231.81
2022-02-18,208.39
2022-02-19,284.51
2022-02-20,596.13
2022-02-22,208.52
2022-02-23,240.25
2022-02-24,225.73
2022-02-25,194.35
2022-02-26,191.38
2022-02-27,567.58
2022-02-28,247.55
2022-03-01,280.01
2022-03-03,78.2
2022-03-04,191.52
2022-03-05,300.26
2022-03-06,376.8
2022-03-08,149.68
2022-03-09,117.2
2022-03-10,131.35
2022-03-11,173.54
2022-03-12,189.16
2022-03-13,629.56
2022-03-15,65.75
2022-03-16,125.13
2022-03-17,143.84
2022-03-18,259.57
2022-03-19,419.95
2022-03-20,242.76
2022-03-22,104.62
2022-03-23,163.0
2022-03-24,85.19
2022-03-25,171.03
2022-03-26,408.52
2022-03-27,357.09
