Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
2024-01-01,5.5,0.0,86.0,80.0,0.8
2024-01-02,4.7,0.0,95.0,24.0,0.5
2024-01-03,10.5,0.06,98.0,33.0,1.4
2024-01-04,8.8,0.1,99.0,25.0,0.6
2024-01-05,6.7,0.04,78.0,104.0,1.7
2024-01-06,6.1,0.0,65.0,110.0,1.6
2024-01-07,4.7,0.0,69.0,102.0,0.7
2024-01-08,2.6,0.0,75.0,91.0,0.7
2024-01-09,5.5,0.0,81.0,43.0,0.6
2024-01-10,5.5,0.01,93.0,41.0,1.6
2024-01-11,4.3,0.0,77.0,105.0,0.8
2024-01-12,2.8,0.0,70.0,96.0,0.7
2024-01-13,4.4,0.0,81.0,54.0,0.5
2024-01-14,6.5,0.05,94.0,21.0,0.6
2024-01-15,10.7,0.08,99.0,42.0,1.7
2024-01-16,12.7,0.0,88.0,34.0,2.1
2024-01-17,10.8,0.19,90.0,66.0,3.4
2024-01-18,11.2,0.0,88.0,104.0,3.1
2024-01-19,6.6,0.54,94.0,16.0,1.1
2024-01-20,5.9,0.0,78.0,114.0,0.9
2024-01-21,7.1,0.0,82.0,112.0,0.7
2024-01-22,4.8,0.0,92.0,69.0,0.5
2024-01-23,8.3,0.0,87.0,113.0,0.5
2024-01-24,10.7,0.0,81.0,119.0,0.5
2024-01-25,10.7,0.0,80.0,123.0,0.5
2024-01-26,11.2,0.0,75.0,113.0,0.5
2024-01-27,10.9,0.0,73.0,112.0,0.5
2024-01-28,10.2,0.0,75.0,119.0,0.5
2024-01-29,10.0,0.0,78.0,104.0,0.6
2024-01-30,8.8,0.0,83.0,121.0,0.5
2024-01-31,6.5,0.0,88.0,96.0,0.5
2024-02-01,8.7,0.0,75.0,127.0,0.5
2024-02-02,8.6,0.0,75.0,132.0,0.8
2024-02-03,8.9,0.0,71.0,135.0,0.6
2024-02-04,8.4,0.0,67.0,138.0,0.6
2024-02-05,7.7,0.0,71.0,116.0,0.6
2024-02-06,8.1,0.0,82.0,105.0,0.8
2024-02-07,8.0,0.0,92.0,64.0,1.0
2024-02-08,9.5,0.01,86.0,32.0,1.7
2024-02-09,9.2,0.19,96.0,41.0,2.2
2024-02-10,7.3,0.01,70.0,116.0,2.2
2024-02-11,5.0,0.0,81.0,71.0,2.0
