Grupo;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
20/05/2021;97;524,58;54,07;578,65;9,25;515,33
21/05/2021;118;660;69,1;729,1;13,34;646,66
22/05/2021;100;672,75;67,85;740,6;12,46;660,29
23/05/2021;78;577,19;61,01;638,2;34,48;542,71
25/05/2021;88;407,17;43,18;450,35;8,59;398,58
26/05/2021;77;397,67;40,48;438,15;4,27;393,4
27/05/2021;93;428,45;45,1;473,55;9,94;418,51
28/05/2021;128;693,63;73,87;767,5;17,62;676,01
29/05/2021;166;1102,36;114,14;1216,5;12,66;1089,7
30/05/2021;171;1238,97;134,98;1373,95;44,99;1193,98
01/06/2021;88;488,78;50,57;539,35;5,55;483,23
02/06/2021;93;525,05;53,9;578,95;6,32;518,73
03/06/2021;80;403,9;40,7;444,6;3,15;400,75
04/06/2021;133;800,61;82,94;883,55;11,71;788,9
05/06/2021;75;520,99;54,41;575,4;11,37;509,62
06/06/2021;140;1016,69;107,51;1124,2;18,76;997,93
07/06/2021;59;354,08;35,92;390;2,89;351,19
08/06/2021;87;409,79;42,21;452;5,66;404,13
09/06/2021;95;501,48;50,92;552,4;3,57;497,91
10/06/2021;93;454,83;46,87;501,7;6,88;447,95
11/06/2021;78;428,97;44,08;473,05;4,48;424,49
12/06/2021;119;766,24;80,06;846,3;10,21;756,03
13/06/2021;116;812,07;86,73;898,8;16,74;795,33
14/06/2021;70;351,63;35,82;387,45;2,21;349,42
16/06/2021;71;402,78;41,87;444,65;6,13;396,65
17/06/2021;57;328,36;34,09;362,45;3,87;324,49
18/06/2021;88;434,95;45,2;480,15;6,42;428,53
19/06/2021;104;698,69;70,56;769,25;4,27;694,42
20/06/2021;65;517,81;51,99;569,8;4,08;513,73
22/06/2021;55;237,03;24,42;261,45;2,83;234,2
23/06/2021;94;423,74;44,86;468,6;10,63;413,11
24/06/2021;83;437,19;43,76;480,95;1,96;435,23
25/06/2021;94;521,54;53,26;574,8;6,33;515,21
26/06/2021;92;599,77;60,68;660,45;5,12;594,65
27/06/2021;104;691,9;69,85;761,75;8,87;683,03
28/06/2021;77;333,44;33,81;367,25;1,5;331,94
29/06/2021;99;524,42;54,23;578,65;6,33;518,09
30/06/2021;93;464,92;48,18;513,1;5,3;459,62
01/07/2021;87;487,15;49,95;537,1;4,43;482,72
02/07/2021;93;554,8;56,25;611,05;5,09;549,71
03/07/2021;128;904,21;91,19;995,4;4,74;899,47
04/07/2021;141;940,02;96,38;1036,4;5,55;934,47
05/07/2021;73;393,21;39,59;432,8;1,98;391,23
06/07/2021;46;251,59;25,41;277;3,24;248,35
07/07/2021;85;433,9;43,65;477,55;4,18;429,72
08/07/2021;84;459,68;48,17;507,85;7,03;452,65
09/07/2021;106;676,35;68,9;745,25;5,89;670,46
10/07/2021;107;651,73;65,17;716,9;1,55;650,18
11/07/2021;101;626,3;63,4;689,7;2,28;624,02
12/07/2021;73;374,45;37,7;412,15;0,67;373,78
13/07/2021;78;382,11;38,99;421,1;3,17;378,94
14/07/2021;83;507,86;51,29;559,15;4,43;503,43
15/07/2021;98;541,8;56,75;598,55;7,3;534,5
16/07/2021;98;551,26;55,59;606,85;3,2;548,06
17/07/2021;90;605,64;60,56;666,2;2,63;603,01
18/07/2021;89;592,68;61,07;653,75;4,95;587,73
19/07/2021;66;339,36;34,14;373,5;0,98;338,38
20/07/2021;88;476,02;49,33;525,35;6,09;469,93
21/07/2021;77;411,36;41,14;452,5;2,26;409,1
22/07/2021;74;431,31;43,59;474,9;1,39;429,92
23/07/2021;114;659,23;67,32;726,55;2,96;656,27
24/07/2021;79;572,87;58,08;630,95;1,85;571,02
25/07/2021;83;549,54;57,26;606,8;3,16;546,38
26/07/2021;59;320,55;32,05;352,6;1,14;319,41
27/07/2021;78;406,52;42,58;449,1;4,86;401,66
28/07/2021;82;504,41;50,89;555,3;1,81;502,6
