,Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
0,2022-01-01,8.2,0.0,73.0,97.0,0.5
1,2022-01-02,7.5,0.0,77.0,89.0,0.6
2,2022-01-03,7.7,0.0,84.0,91.0,0.8
3,2022-01-04,5.4,0.24,90.0,30.0,1.7
4,2022-01-05,5.9,0.15,76.0,80.0,1.8
5,2022-01-06,3.6,0.0,82.0,111.0,0.8
6,2022-01-07,4.1,0.0,74.0,105.0,0.9
7,2022-01-08,2.1,0.0,84.0,77.0,1.1
8,2022-01-09,9.0,0.0,72.0,98.0,2.3
9,2022-01-10,12.2,0.0,68.0,123.0,1.6
10,2022-01-11,8.8,0.0,73.0,104.0,0.8
11,2022-01-12,5.5,0.0,64.0,112.0,1.0
12,2022-01-13,3.4,0.0,69.0,92.0,0.8
13,2022-01-14,2.1,0.0,73.0,99.0,0.8
14,2022-01-15,2.4,0.0,72.0,110.0,0.7
15,2022-01-16,2.5,0.0,78.0,116.0,0.7
16,2022-01-17,3.2,0.0,74.0,110.0,0.6
17,2022-01-18,3.6,0.0,65.0,119.0,0.6
18,2022-01-19,3.5,0.0,60.0,103.0,0.7
19,2022-01-20,0.4,0.0,66.0,92.0,0.6
20,2022-01-21,1.5,0.0,69.0,120.0,0.8
21,2022-01-22,4.2,0.0,65.0,95.0,0.7
22,2022-01-23,3.7,0.0,80.0,73.0,0.7
23,2022-01-24,5.5,0.0,74.0,56.0,0.9
24,2022-01-25,7.5,0.0,68.0,53.0,1.0
25,2022-01-26,4.7,0.0,75.0,113.0,0.9
26,2022-01-27,5.5,0.0,66.0,127.0,0.8
27,2022-01-28,5.3,0.0,53.0,135.0,0.8
28,2022-01-29,5.4,0.0,49.0,137.0,0.8
29,2022-01-30,5.9,0.0,50.0,132.0,0.7
30,2022-01-31,6.3,0.0,51.0,134.0,1.0
31,2022-02-01,10.5,0.0,56.0,137.0,2.1
32,2022-02-02,9.6,0.0,66.0,141.0,0.8
33,2022-02-03,7.9,0.0,71.0,122.0,0.9
34,2022-02-04,8.6,0.0,75.0,89.0,0.7
35,2022-02-05,9.3,0.0,66.0,137.0,1.5
36,2022-02-06,7.5,0.0,53.0,144.0,0.9
37,2022-02-07,7.7,0.0,61.0,147.0,0.9
38,2022-02-08,9.5,0.0,58.0,149.0,1.0
39,2022-02-09,7.4,0.0,70.0,150.0,0.9
40,2022-02-10,7.5,0.0,72.0,136.0,0.7
41,2022-02-11,9.3,0.0,71.0,138.0,0.7
42,2022-02-12,8.6,0.0,70.0,127.0,0.8
43,2022-02-13,7.9,0.0,75.0,111.0,2.1
44,2022-02-14,7.5,0.04,70.0,151.0,1.9
45,2022-02-15,6.9,0.0,65.0,161.0,1.3
46,2022-02-16,9.2,0.0,67.0,152.0,1.4
47,2022-02-17,9.3,0.0,76.0,167.0,0.8
48,2022-02-18,10.1,0.0,75.0,163.0,0.9
49,2022-02-19,9.4,0.0,61.0,96.0,1.5
50,2022-02-20,6.9,0.0,62.0,175.0,0.7
51,2022-02-21,9.6,0.0,58.0,177.0,1.0
52,2022-02-22,11.8,0.0,33.0,184.0,1.0
53,2022-02-23,9.8,0.0,48.0,147.0,0.7
54,2022-02-24,9.0,0.0,56.0,122.0,0.7
55,2022-02-25,8.5,0.15,76.0,29.0,1.1
56,2022-02-26,8.4,0.08,83.0,17.0,1.4
57,2022-02-27,10.0,0.0,74.0,134.0,1.0
58,2022-02-28,10.2,0.0,73.0,191.0,1.0
59,2022-03-01,9.7,,70.0,189.0,1.2
60,2022-03-02,11.5,,64.0,187.0,1.8
61,2022-03-03,8.0,,83.0,39.0,0.8
62,2022-03-04,8.8,,62.0,120.0,1.5
63,2022-03-05,7.5,,61.0,162.0,0.9
64,2022-03-06,7.6,,63.0,171.0,1.4
65,2022-03-07,6.7,,88.0,104.0,1.5
66,2022-03-08,8.2,,75.0,186.0,2.2
67,2022-03-09,8.0,,77.0,116.0,0.8
68,2022-03-10,10.3,,72.0,153.0,1.6
69,2022-03-11,8.9,,85.0,75.0,2.2
70,2022-03-12,7.8,,75.0,194.0,2.2
71,2022-03-13,9.3,,67.0,227.0,1.7
72,2022-03-14,8.4,,81.0,22.0,1.7
73,2022-03-15,13.9,,61.0,44.0,1.2
74,2022-03-16,12.6,,62.0,22.0,1.1
75,2022-03-17,10.5,,66.0,75.0,2.2
76,2022-03-18,10.2,,65.0,113.0,1.4
77,2022-03-19,10.0,,70.0,103.0,1.1
78,2022-03-20,10.7,,69.0,64.0,2.8
79,2022-03-21,9.6,,87.0,92.0,2.0
80,2022-03-22,9.1,,84.0,72.0,3.0
81,2022-03-23,8.6,,77.0,77.0,1.6
82,2022-03-24,9.0,,84.0,36.0,1.5
83,2022-03-25,9.8,,88.0,91.0,1.4
84,2022-03-26,9.8,,79.0,81.0,1.0
85,2022-03-27,11.3,,73.0,124.0,1.2
86,2022-03-28,11.0,,71.0,198.0,1.3
87,2022-03-29,12.5,,74.0,175.0,1.2
88,2022-03-30,10.1,,89.0,52.0,0.8
89,2022-03-31,8.4,,68.0,148.0,1.6
90,2022-04-01,6.4,,58.0,269.0,1.5
91,2022-04-02,5.1,,48.0,270.0,1.4
92,2022-04-03,5.1,,49.0,247.0,1.9
93,2022-04-04,5.5,,48.0,234.0,2.2
94,2022-04-05,6.4,,54.0,126.0,1.5
95,2022-04-06,8.9,,68.0,256.0,1.9
96,2022-04-07,12.5,,61.0,279.0,2.5
97,2022-04-08,10.7,,74.0,223.0,2.5
98,2022-04-09,12.6,,79.0,181.0,2.1
99,2022-04-10,15.6,,70.0,236.0,1.9
100,2022-04-11,15.3,,59.0,226.0,2.5
101,2022-04-12,10.5,,81.0,131.0,1.5
102,2022-04-13,12.0,,67.0,211.0,1.0
103,2022-04-14,14.8,,59.0,282.0,1.3
104,2022-04-15,16.6,,60.0,278.0,1.0
105,2022-04-16,16.3,,59.0,334.0,0.9
106,2022-04-17,11.720689655172412,,,236.0344827586207,1.6862068965517245
107,2022-04-18,22.3,,36.0,423.0,1.9
108,2022-04-19,13.5,,63.0,217.0,1.3
109,2022-04-20,8.0,,72.0,179.0,2.0
110,2022-04-21,10.6,,53.0,302.0,2.0
111,2022-04-22,8.2,,87.0,67.0,2.6
112,2022-04-23,7.2,,84.0,188.0,3.4
113,2022-04-24,11.0,,62.0,307.0,1.6
114,2022-04-25,13.5,,57.0,316.0,1.0
115,2022-04-26,13.4,,68.0,202.0,1.1
116,2022-04-27,12.6,,83.0,177.0,1.1
117,2022-04-28,11.9,,84.0,160.0,1.1
118,2022-04-29,16.5,,57.0,300.0,1.2
119,2022-04-30,16.9,,66.0,224.0,1.0
120,2022-05-01,18.6,0.0,57.0,307.0,1.6
121,2022-05-02,14.1,0.05,72.0,132.0,1.0
122,2022-05-03,12.7,0.11,75.0,155.0,2.1
123,2022-05-04,15.0,0.0,60.0,265.0,2.1
124,2022-05-05,16.5,0.0,52.0,329.0,1.1
125,2022-05-06,17.0,0.0,44.0,330.0,1.1
126,2022-05-07,17.4,0.0,45.0,334.0,1.4
127,2022-05-08,19.2,0.0,42.0,330.0,1.1
128,2022-05-09,20.7,0.0,42.0,327.0,1.0
129,2022-05-10,21.2,0.0,45.0,327.0,1.2
130,2022-05-11,22.0,0.0,46.0,318.0,1.3
131,2022-05-12,21.7,0.0,40.0,294.0,1.4
132,2022-05-13,21.7,0.0,45.0,330.0,1.2
133,2022-05-14,21.3,0.01,52.0,253.0,1.0
134,2022-05-15,19.4,0.0,55.0,281.0,2.0
135,2022-05-16,18.9,0.0,54.0,331.0,1.6
136,2022-05-17,20.5,0.0,51.0,336.0,1.6
137,2022-05-18,23.3,0.0,46.0,323.0,1.1
138,2022-05-19,25.4,0.0,39.0,310.0,1.9
139,2022-05-20,26.2,0.0,34.0,245.0,1.7
140,2022-05-21,26.4,0.0,36.0,257.0,1.3
141,2022-05-22,22.6,0.0,45.0,289.0,2.5
142,2022-05-23,20.7,0.0,53.0,304.0,2.0
143,2022-05-24,17.3,0.0,46.0,205.0,1.6
144,2022-05-25,15.8,0.0,44.0,355.0,1.6
145,2022-05-26,18.7,0.0,41.0,350.0,1.8
146,2022-05-27,23.5,0.0,32.0,351.0,1.3
147,2022-05-28,24.8,0.0,31.0,347.0,1.3
148,2022-05-29,23.4,0.0,36.0,325.0,2.0
149,2022-05-30,18.8,0.0,50.0,294.0,3.3
150,2022-05-31,21.6,0.0,44.0,346.0,1.6
151,2022-06-01,22.4,0.0,37.0,336.0,2.2
152,2022-06-02,21.5,0.0,48.0,285.0,1.7
153,2022-06-03,21.2,0.0,44.0,339.0,1.9
154,2022-06-04,20.2,0.0,44.0,339.0,2.0
155,2022-06-05,21.6,0.0,41.0,359.0,1.6
156,2022-06-06,23.4,0.0,37.0,315.0,1.8
157,2022-06-07,25.1,0.0,38.0,348.0,1.8
158,2022-06-08,24.0,0.0,43.0,290.0,2.1
159,2022-06-09,25.8,0.0,43.0,348.0,1.5
160,2022-06-10,27.9,0.0,29.0,349.0,1.3
161,2022-06-11,29.4,0.0,32.0,333.0,1.6
162,2022-06-12,29.3,0.0,26.0,264.0,1.5
163,2022-06-13,30.1,0.0,23.0,309.0,1.5
164,2022-06-14,30.6,0.0,25.0,313.0,1.5
165,2022-06-15,30.7,0.0,26.0,271.0,1.5
166,2022-06-16,30.9,0.0,28.0,248.0,1.6
167,2022-06-17,30.6,0.0,31.0,307.0,1.9
168,2022-06-18,31.0,0.0,24.0,301.0,2.1
169,2022-06-19,22.3,0.0,42.0,349.0,2.8
170,2022-06-20,21.6,0.0,44.0,283.0,2.3
171,2022-06-21,20.5,0.0,37.0,322.0,1.9
172,2022-06-22,18.3,0.0,47.0,332.0,3.2
173,2022-06-23,18.6,0.0,57.0,246.0,2.7
174,2022-06-24,19.6,0.0,50.0,353.0,2.0
175,2022-06-25,20.5,0.0,44.0,352.0,2.6
176,2022-06-26,21.2,0.0,30.0,360.0,2.2
177,2022-06-27,22.2,0.0,34.0,311.0,1.3
178,2022-06-28,23.5,0.0,36.0,356.0,1.5
179,2022-06-29,24.6,0.0,28.0,354.0,2.1
180,2022-06-30,23.5,0.0,32.0,337.0,1.9
181,2022-07-01,24.1,0.0,37.0,352.0,1.5
182,2022-07-02,28.2,0.0,44.0,343.0,1.9
183,2022-07-03,28.5,0.0,40.0,330.0,2.2
184,2022-07-04,27.3,0.0,32.0,353.0,1.6
185,2022-07-05,27.4,0.0,26.0,356.0,1.7
186,2022-07-06,25.0,0.5,47.0,276.0,2.0
187,2022-07-07,24.7,0.0,39.0,357.0,1.9
188,2022-07-08,26.9,0.0,32.0,356.0,1.5
189,2022-07-09,29.3,0.0,30.0,348.0,1.3
190,2022-07-10,30.6,0.0,26.0,347.0,1.4
191,2022-07-11,30.1,0.0,27.0,278.0,1.4
192,2022-07-12,31.5,0.0,24.0,330.0,1.5
193,2022-07-13,31.8,0.0,26.0,305.0,1.3
194,2022-07-14,33.8,0.0,19.0,321.0,1.6
195,2022-07-15,32.7,0.0,18.0,337.0,1.7
196,2022-07-16,32.5,0.0,22.0,333.0,1.7
197,2022-07-17,31.9,0.0,23.0,333.0,1.7
198,2022-07-18,32.1,0.0,24.0,333.0,2.0
199,2022-07-19,28.2,0.0,26.0,352.0,2.8
200,2022-07-20,28.5,0.0,25.0,343.0,1.1
201,2022-07-21,30.5,0.0,29.0,335.0,1.5
202,2022-07-22,30.2,0.0,27.0,317.0,1.9
203,2022-07-23,28.6,0.0,20.0,350.0,1.9
204,2022-07-24,29.2,0.0,20.0,331.0,2.2
205,2022-07-25,30.3,0.0,19.0,339.0,1.9
206,2022-07-26,28.6,0.0,31.0,324.0,1.5
207,2022-07-27,28.4,0.0,36.0,323.0,1.7
208,2022-07-28,28.9,0.0,26.0,334.0,1.9
209,2022-07-29,29.0,0.0,29.0,335.0,1.8
210,2022-07-30,27.3,0.13,46.0,287.0,1.6
211,2022-07-31,28.7,0.0,46.0,317.0,1.2
212,2022-08-01,31.2,0.0,33.0,309.0,1.2
213,2022-08-02,30.7,0.17,37.0,295.0,1.5
214,2022-08-03,29.5,0.0,39.0,315.0,1.6
215,2022-08-04,29.9,0.0,31.0,324.0,1.7
216,2022-08-05,30.4,0.0,29.0,319.0,1.7
217,2022-08-06,29.7,0.0,29.0,314.0,1.6
218,2022-08-07,29.7,0.0,30.0,318.0,1.7
219,2022-08-08,28.7,0.0,30.0,314.0,1.3
220,2022-08-09,29.8,0.0,30.0,310.0,1.5
221,2022-08-10,30.9,0.0,30.0,276.0,2.1
222,2022-08-11,30.1,0.0,33.0,270.0,1.8
223,2022-08-12,29.7,0.0,33.0,286.0,1.6
224,2022-08-13,25.3,0.0,42.0,88.0,2.0
225,2022-08-14,23.9,0.0,42.0,318.0,2.0
226,2022-08-15,24.9,0.0,30.0,306.0,1.9
227,2022-08-16,23.6,0.0,32.0,285.0,2.4
228,2022-08-17,21.4,0.04,45.0,249.0,1.3
229,2022-08-18,21.9,0.01,42.0,309.0,1.5
230,2022-08-19,23.6,0.0,38.0,310.0,1.3
231,2022-08-20,26.3,0.0,31.0,304.0,1.4
232,2022-08-21,27.3,0.0,28.0,293.0,1.4
233,2022-08-22,28.1,0.0,34.0,294.0,1.3
234,2022-08-23,28.7,0.0,36.0,287.0,1.4
235,2022-08-24,28.1,0.0,36.0,236.0,1.3
236,2022-08-25,27.6,0.16,36.0,264.0,1.4
237,2022-08-26,25.6,0.0,47.0,218.0,1.7
238,2022-08-27,25.3,0.0,47.0,265.0,1.1
239,2022-08-28,27.4,0.0,43.0,276.0,2.0
240,2022-08-29,27.1,0.05,48.0,256.0,2.2
241,2022-08-30,26.3,0.0,36.0,282.0,2.2
242,2022-08-31,25.6,0.0,29.0,285.0,2.4
243,2022-09-01,24.1,0.0,29.0,282.0,1.8
244,2022-09-02,23.2,0.0,35.0,262.0,2.2
245,2022-09-03,22.0,0.0,43.0,264.0,1.8
246,2022-09-04,21.7,0.0,34.0,281.0,1.7
247,2022-09-05,20.7,0.0,37.0,276.0,2.0
248,2022-09-06,21.4,0.0,48.0,272.0,2.4
249,2022-09-07,20.5,0.0,40.0,221.0,2.1
250,2022-09-08,22.7,0.0,48.0,240.0,1.4
251,2022-09-09,25.0,0.0,47.0,264.0,1.4
252,2022-09-10,25.7,0.0,37.0,259.0,1.4
253,2022-09-11,26.2,0.0,38.0,251.0,1.2
254,2022-09-12,25.2,0.01,44.0,98.0,2.0
255,2022-09-13,20.8,0.45,68.0,153.0,3.3
256,2022-09-14,19.1,0.0,69.0,179.0,1.7
257,2022-09-15,19.9,0.1,72.0,172.0,1.0
258,2022-09-16,20.9,0.0,66.0,208.0,0.8
259,2022-09-17,21.8,0.0,49.0,240.0,1.0
260,2022-09-18,23.4,0.0,48.0,226.0,1.3
261,2022-09-19,22.8,0.0,61.0,146.0,1.3
262,2022-09-20,21.2,0.51,70.0,164.0,1.2
263,2022-09-21,21.9,0.0,57.0,215.0,1.2
264,2022-09-22,21.6,0.0,57.0,202.0,1.2
265,2022-09-23,21.8,0.0,49.0,211.0,1.7
266,2022-09-24,19.8,0.0,43.0,207.0,1.3
267,2022-09-25,16.1,0.0,46.0,201.0,1.7
268,2022-09-26,16.5,0.0,43.0,223.0,1.5
269,2022-09-27,16.1,0.0,49.0,225.0,1.2
270,2022-09-28,17.1,0.0,50.0,181.0,1.5
271,2022-09-29,14.0,0.05,65.0,67.0,1.7
272,2022-09-30,14.6,0.0,51.0,220.0,1.2
273,2022-10-01,15.5,0.0,52.0,215.0,0.9
274,2022-10-02,18.2,0.0,42.0,220.0,0.9
275,2022-10-03,19.5,0.0,34.0,161.0,0.8
276,2022-10-04,20.4,0.0,41.0,186.0,0.9
277,2022-10-05,20.1,0.0,47.0,187.0,0.9
278,2022-10-06,20.2,0.0,55.0,166.0,1.1
279,2022-10-07,18.3,0.0,62.0,161.0,0.8
280,2022-10-08,18.3,0.0,59.0,182.0,1.0
281,2022-10-09,19.3,0.0,60.0,170.0,1.0
282,2022-10-10,16.5,0.03,76.0,107.0,0.9
283,2022-10-11,17.6,0.01,76.0,122.0,0.8
284,2022-10-12,17.7,0.0,70.0,182.0,1.0
285,2022-10-13,17.8,0.0,63.0,167.0,1.0
286,2022-10-14,18.5,0.0,58.0,173.0,1.0
287,2022-10-15,18.3,0.0,56.0,180.0,1.2
288,2022-10-16,18.0,0.0,57.0,128.0,1.0
289,2022-10-17,19.4,0.06,66.0,143.0,1.0
290,2022-10-18,19.8,0.0,62.0,165.0,1.0
291,2022-10-19,18.8,0.0,57.0,87.0,2.3
292,2022-10-20,15.6,0.12,69.0,20.0,2.1
293,2022-10-21,15.4,0.08,86.0,56.0,1.9
294,2022-10-22,16.0,0.25,83.0,120.0,2.0
295,2022-10-23,15.3,0.03,85.0,81.0,2.1
296,2022-10-24,14.6,0.0,84.0,74.0,0.6
297,2022-10-25,16.8,0.0,68.0,131.0,1.2
298,2022-10-26,17.2,0.0,69.0,106.0,0.9
299,2022-10-27,18.9,0.0,55.0,115.0,0.8
300,2022-10-28,17.8,0.0,58.0,114.0,0.7
301,2022-10-29,17.6,0.0,54.0,137.0,0.8
302,2022-10-30,14.9,0.0,69.0,75.0,0.7
303,2022-10-31,12.9,0.03,86.0,31.0,0.7
304,2022-11-01,15.6,0.0,75.0,115.0,0.9
305,2022-11-02,14.5,0.0,72.0,134.0,0.8
306,2022-11-03,12.9,0.05,80.0,93.0,2.3
307,2022-11-04,12.0,0.0,62.0,136.0,1.1
308,2022-11-05,9.0,0.0,67.0,143.0,0.8
309,2022-11-06,10.1,0.0,68.0,138.0,0.9
310,2022-11-07,11.5,0.0,71.0,136.0,0.8
311,2022-11-08,12.4,0.07,77.0,42.0,0.9
312,2022-11-09,12.3,0.2,92.0,65.0,1.1
313,2022-11-10,10.6,0.0,78.0,131.0,0.7
314,2022-11-11,11.5,0.03,78.0,85.0,1.0
315,2022-11-12,13.7,0.15,78.0,80.0,1.7
316,2022-11-13,13.4,0.0,78.0,95.0,0.8
317,2022-11-14,11.3,0.05,93.0,47.0,1.6
318,2022-11-15,12.9,0.17,91.0,58.0,2.8
319,2022-11-16,11.4,0.13,96.0,42.0,2.8
320,2022-11-17,13.7,0.02,91.0,73.0,3.6
321,2022-11-18,10.0,0.01,76.0,101.0,2.1
322,2022-11-19,7.9,0.0,62.0,106.0,1.7
323,2022-11-20,10.5,0.0,76.0,117.0,1.7
324,2022-11-21,10.9,0.23,86.0,37.0,3.4
325,2022-11-22,7.6,0.06,81.0,43.0,3.2
326,2022-11-23,13.4,0.0,93.0,97.0,3.5
327,2022-11-24,11.5,0.18,95.0,37.0,1.5
328,2022-11-25,10.7,0.01,74.0,122.0,1.2
329,2022-11-26,6.2,0.0,79.0,104.0,0.6
330,2022-11-27,7.3,0.03,78.0,105.0,0.7
331,2022-11-28,8.6,0.15,66.0,112.0,2.0
332,2022-11-29,6.9,0.0,71.0,102.0,0.7
333,2022-11-30,6.9,0.0,76.0,86.0,0.7
334,2022-12-01,7.6,0.0,66.0,,1.2
335,2022-12-02,5.3,0.0,72.0,,0.8
336,2022-12-03,3.9,0.08,86.0,,0.7
337,2022-12-04,4.9,0.03,93.0,,0.6
338,2022-12-05,7.3,0.49,98.0,,0.8
339,2022-12-06,10.2,0.0,94.0,,0.5
340,2022-12-07,9.7,0.0,92.0,,0.5
341,2022-12-08,8.9,0.71,99.0,,1.3
342,2022-12-09,9.3,0.3,97.0,,0.8
343,2022-12-10,9.0,0.01,89.0,,1.5
344,2022-12-11,7.2,0.47,95.0,,1.1
345,2022-12-12,11.1,0.34,99.0,,2.3
346,2022-12-13,13.3,1.07,99.0,,2.5
347,2022-12-14,11.2,0.65,96.0,,1.4
348,2022-12-15,8.8,0.11,94.0,,2.2
349,2022-12-16,8.4,0.03,92.0,,0.8
350,2022-12-17,9.8,0.0,88.0,,0.7
351,2022-12-18,7.9,0.0,92.0,,0.6
352,2022-12-19,6.8,0.0,93.0,,0.6
353,2022-12-20,7.1,0.32,98.0,,0.6
354,2022-12-21,10.4,0.0,95.0,,2.0
355,2022-12-22,11.6,0.0,94.0,,1.9
356,2022-12-23,11.0,0.05,95.0,,1.1
357,2022-12-24,9.4,0.0,93.0,,0.7
358,2022-12-25,9.6,0.0,88.0,,1.1
359,2022-12-26,9.5,0.0,81.0,,0.7
360,2022-12-27,8.1,0.0,84.0,,0.7
361,2022-12-28,7.3,0.0,85.0,,1.1
362,2022-12-29,9.9,0.0,89.0,,2.4
363,2022-12-30,11.1,0.0,76.0,,2.8
364,2022-12-31,8.1,0.0,74.0,,0.7
