,Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
108,2023-05-20,14.5,0.0,39.0,267.0,1.6
109,2023-05-21,15.1,0.15,51.0,237.0,1.7
110,2023-05-22,18.0,0.08,47.0,226.0,1.6
111,2023-05-23,16.8,0.15,68.0,254.0,2.2
112,2023-05-24,17.7,0.0,64.0,220.0,1.5
113,2023-05-25,17.7,0.23,66.0,244.0,1.5
114,2023-05-26,14.7,0.88,87.0,118.0,1.8
115,2023-05-27,17.0,0.41,75.0,215.0,1.4
116,2023-05-28,14.9,0.15,87.0,135.0,1.0
117,2023-05-29,16.2,0.43,79.0,282.0,1.2
118,2023-05-30,16.1,0.01,80.0,238.0,1.1
119,2023-05-31,18.0,0.0,70.0,302.0,1.2
120,2023-06-01,17.4,0.09,70.0,237.0,1.2
121,2023-06-02,17.3,0.12,73.0,254.0,1.2
122,2023-06-03,18.2,0.47,70.0,315.0,1.3
123,2023-06-04,20.0,0.0,63.0,296.0,1.1
124,2023-06-05,20.2,0.0,65.0,266.0,1.4
125,2023-06-06,22.0,0.0,58.0,336.0,1.1
126,2023-06-07,18.0,0.36,83.0,63.0,1.6
127,2023-06-08,17.8,0.08,87.0,123.0,1.7
128,2023-06-09,19.1,0.0,71.0,289.0,2.1
129,2023-06-10,21.2,0.0,64.0,321.0,1.6
130,2023-06-11,22.2,0.0,53.0,346.0,1.7
131,2023-06-12,21.9,0.0,55.0,311.0,1.6
132,2023-06-13,19.9,0.05,61.0,282.0,1.5
133,2023-06-14,21.5,0.0,55.0,268.0,1.0
134,2023-06-15,24.3,0.0,45.0,341.0,1.2
135,2023-06-16,25.9,0.0,42.0,331.0,1.3
136,2023-06-17,26.8,0.0,46.0,307.0,1.7
137,2023-06-18,25.0,0.0,49.0,291.0,1.5
138,2023-06-19,23.5,0.1,61.0,273.0,1.4
139,2023-06-20,22.6,0.0,55.0,288.0,1.9
140,2023-06-21,21.4,0.08,58.0,208.0,1.4
141,2023-06-22,22.2,0.0,63.0,317.0,1.1
142,2023-06-23,26.0,0.0,47.0,353.0,1.2
143,2023-06-24,27.6,0.0,43.0,353.0,1.2
144,2023-06-25,29.2,0.0,40.0,330.0,1.3
145,2023-06-26,29.7,0.0,34.0,345.0,1.5
146,2023-06-27,29.2,0.0,40.0,304.0,1.2
147,2023-06-28,28.8,0.0,39.0,311.0,1.2
148,2023-06-29,27.0,0.0,36.0,341.0,1.8
149,2023-06-30,22.9,0.0,43.0,358.0,2.1
150,2023-07-01,25.4,0.0,40.0,345.0,1.4
151,2023-07-02,27.2,0.0,43.0,309.0,1.4
152,2023-07-03,28.5,0.0,40.0,344.0,2.0
