,Fecha,Ventas
213,2021-09-13,58.8
214,2021-09-14,104.8
215,2021-09-15,282.5
216,2021-09-16,360.45
217,2021-09-17,609.1
218,2021-09-18,692.9
219,2021-09-19,762.75
220,2021-09-20,144.0
221,2021-09-21,199.6
222,2021-09-22,207.4
223,2021-09-23,244.0
224,2021-09-24,368.15
225,2021-09-25,459.2
226,2021-09-26,768.8
227,2021-09-27,219.0
228,2021-09-28,204.65
229,2021-09-29,229.7
230,2021-09-30,356.7
231,2021-10-01,566.1
232,2021-10-02,470.4
233,2021-10-03,73.3
234,2021-10-04,139.75
235,2021-10-05,156.3
236,2021-10-06,248.0
237,2021-10-07,234.25
238,2021-10-08,532.59
239,2021-10-09,634.99
240,2021-10-10,636.95
241,2021-10-11,244.65
242,2021-10-12,756.63
243,2021-10-13,229.39
244,2021-10-14,325.49
245,2021-10-15,532.47
246,2021-10-16,348.17
247,2021-10-17,672.4
248,2021-10-19,190.2
249,2021-10-20,281.69
250,2021-10-21,188.04
251,2021-10-22,293.17
252,2021-10-23,448.65
253,2021-10-24,467.75
254,2021-10-25,89.01
255,2021-10-26,205.07
256,2021-10-27,241.39
257,2021-10-28,248.75
258,2021-10-29,89.77
259,2021-10-30,117.15
260,2021-10-31,227.35
261,2021-11-01,314.8
262,2021-11-03,79.04
263,2021-11-04,117.4
264,2021-11-05,106.88
265,2021-11-06,352.8
266,2021-11-07,250.88
267,2021-11-10,109.66
268,2021-11-11,146.96
269,2021-11-12,169.57
270,2021-11-13,321.47
271,2021-11-14,482.92
272,2021-11-16,108.29
273,2021-11-17,115.66
274,2021-11-18,140.95
275,2021-11-19,130.98
276,2021-11-20,133.27
277,2021-11-21,187.38
278,2021-11-23,74.05
279,2021-11-24,53.87
280,2021-11-25,81.12
281,2021-11-26,79.26
282,2021-11-27,151.75
283,2021-11-28,84.45
284,2021-11-30,64.25
285,2021-12-01,84.05
286,2021-12-02,95.36
287,2021-12-03,115.83
288,2021-12-04,116.7
289,2021-12-05,121.64
290,2021-12-06,121.31
291,2021-12-08,112.3
292,2021-12-09,69.5
293,2021-12-10,152.81
294,2021-12-11,215.68
295,2021-12-12,292.25
296,2021-12-14,109.41
297,2021-12-15,68.4
298,2021-12-16,115.6
299,2021-12-17,159.47
300,2021-12-18,197.25
301,2021-12-19,199.53
302,2021-12-21,101.41
303,2021-12-22,89.45
304,2021-12-23,163.5
305,2021-12-24,238.41
306,2021-12-26,24.9
307,2021-12-27,105.64
308,2021-12-28,138.7
309,2021-12-29,169.98
310,2021-12-30,116.14
311,2021-12-31,274.1
312,2022-01-02,154.85
313,2022-01-03,115.16
314,2022-01-04,86.38
315,2022-01-05,47.81
316,2022-01-06,156.0
317,2022-01-07,60.28
318,2022-01-08,105.9
319,2022-01-14,66.07
320,2022-01-15,180.95
321,2022-01-16,148.6
322,2022-01-21,75.14
323,2022-01-22,164.45
324,2022-01-23,182.05
325,2022-01-28,183.14
326,2022-01-29,378.72
327,2022-01-30,394.11
328,2022-02-01,39.55
329,2022-02-02,168.84
330,2022-02-03,137.48
331,2022-02-04,153.32
332,2022-02-05,340.7
333,2022-02-06,554.07
334,2022-02-08,236.94
335,2022-02-09,273.46
336,2022-02-10,191.9
337,2022-02-11,279.96
338,2022-02-12,535.03
339,2022-02-13,411.45
340,2022-02-15,100.0
341,2022-02-16,146.16
342,2022-02-17,231.81
343,2022-02-18,208.39
344,2022-02-19,284.51
345,2022-02-20,596.13
346,2022-02-22,208.52
347,2022-02-23,240.25
348,2022-02-24,225.73
349,2022-02-25,194.35
350,2022-02-26,191.38
351,2022-02-27,567.58
352,2022-02-28,247.55
353,2022-03-01,280.01
354,2022-03-03,78.2
355,2022-03-04,191.52
356,2022-03-05,300.26
357,2022-03-06,376.8
358,2022-03-08,149.68
359,2022-03-09,117.2
360,2022-03-10,131.35
361,2022-03-11,173.54
362,2022-03-12,189.16
363,2022-03-13,629.56
364,2022-03-15,65.75
365,2022-03-16,125.13
366,2022-03-17,143.84
367,2022-03-18,259.57
368,2022-03-19,419.95
369,2022-03-20,242.76
370,2022-03-22,104.62
371,2022-03-23,163.0
372,2022-03-24,85.19
373,2022-03-25,171.03
374,2022-03-26,408.52
375,2022-03-27,357.09
376,2022-03-28,132.45
377,2022-03-29,189.11
378,2022-03-30,113.35
379,2022-03-31,128.28
380,2022-04-01,257.55
381,2022-04-02,392.64
382,2022-04-03,435.96
383,2022-04-04,98.22
384,2022-04-05,128.61
385,2022-04-06,295.4
386,2022-04-07,401.03
387,2022-04-08,362.97
388,2022-04-09,355.61
389,2022-04-10,1050.39
390,2022-04-11,241.1
391,2022-04-12,105.21
392,2022-04-13,247.28
393,2022-04-14,459.95
